1;Tremblay.Olimpia@etu.cegepjonquiere.ca;$2y$10$J/WmC4JWR42JtTeMp0yBpuTGd.Kc9D6lHlOtisNcOLZloa9ekK/Ee;5;;;;;
2;Bouchard.Olga@etu.cegepjonquiere.ca;$2y$10$J/WmC4JWR42JtTeMp0yBpuTGd.Kc9D6lHlOtisNcOLZloa9ekK/Ee;5;;;;;
3;Duchesne.Leonarda@etu.cegepjonquiere.ca;$2y$10$J/WmC4JWR42JtTeMp0yBpuTGd.Kc9D6lHlOtisNcOLZloa9ekK/Ee;5;;;;;
4;Poirier.Kelly@etu.cegepjonquiere.ca;$2y$10$J/WmC4JWR42JtTeMp0yBpuTGd.Kc9D6lHlOtisNcOLZloa9ekK/Ee;5;;;;;
5;Jean.Cyril@etu.cegepjonquiere.ca;$2y$10$J/WmC4JWR42JtTeMp0yBpuTGd.Kc9D6lHlOtisNcOLZloa9ekK/Ee;5;;;;;
6;Gilbert.Rufina@etu.cegepjonquiere.ca;$2y$10$J/WmC4JWR42JtTeMp0yBpuTGd.Kc9D6lHlOtisNcOLZloa9ekK/Ee;5;;;;;
7;Tremblay.Torri@etu.cegepjonquiere.ca;$2y$10$J/WmC4JWR42JtTeMp0yBpuTGd.Kc9D6lHlOtisNcOLZloa9ekK/Ee;5;;;;;
8;Bouchard.Cliff@etu.cegepjonquiere.ca;$2y$10$J/WmC4JWR42JtTeMp0yBpuTGd.Kc9D6lHlOtisNcOLZloa9ekK/Ee;5;;;;;
9;Duchesne.Kyoko@etu.cegepjonquiere.ca;$2y$10$J/WmC4JWR42JtTeMp0yBpuTGd.Kc9D6lHlOtisNcOLZloa9ekK/Ee;5;;;;;
10;Poirier.Elvie@etu.cegepjonquiere.ca;$2y$10$J/WmC4JWR42JtTeMp0yBpuTGd.Kc9D6lHlOtisNcOLZloa9ekK/Ee;5;;;;;
11;Jean.Barbra@etu.cegepjonquiere.ca;$2y$10$J/WmC4JWR42JtTeMp0yBpuTGd.Kc9D6lHlOtisNcOLZloa9ekK/Ee;5;;;;;
12;Gilbert.Graig@etu.cegepjonquiere.ca;$2y$10$J/WmC4JWR42JtTeMp0yBpuTGd.Kc9D6lHlOtisNcOLZloa9ekK/Ee;5;;;;;
13;Tremblay.Pamala@etu.cegepjonquiere.ca;$2y$10$J/WmC4JWR42JtTeMp0yBpuTGd.Kc9D6lHlOtisNcOLZloa9ekK/Ee;5;;;;;
14;Bouchard.Jermaine@etu.cegepjonquiere.ca;$2y$10$J/WmC4JWR42JtTeMp0yBpuTGd.Kc9D6lHlOtisNcOLZloa9ekK/Ee;5;;;;;
15;Duchesne.Chau@etu.cegepjonquiere.ca;$2y$10$J/WmC4JWR42JtTeMp0yBpuTGd.Kc9D6lHlOtisNcOLZloa9ekK/Ee;5;;;;;
16;Poirier.Almeta@etu.cegepjonquiere.ca;$2y$10$J/WmC4JWR42JtTeMp0yBpuTGd.Kc9D6lHlOtisNcOLZloa9ekK/Ee;5;;;;;
17;Jean.Denita@etu.cegepjonquiere.ca;$2y$10$J/WmC4JWR42JtTeMp0yBpuTGd.Kc9D6lHlOtisNcOLZloa9ekK/Ee;5;;;;;
18;Gilbert.Larita@etu.cegepjonquiere.ca;$2y$10$J/WmC4JWR42JtTeMp0yBpuTGd.Kc9D6lHlOtisNcOLZloa9ekK/Ee;5;;;;;
19;Tremblay.Bridgette@etu.cegepjonquiere.ca;$2y$10$J/WmC4JWR42JtTeMp0yBpuTGd.Kc9D6lHlOtisNcOLZloa9ekK/Ee;5;;;;;
20;Bouchard.Sherika@etu.cegepjonquiere.ca;$2y$10$J/WmC4JWR42JtTeMp0yBpuTGd.Kc9D6lHlOtisNcOLZloa9ekK/Ee;5;;;;;
21;Duchesne.Monroe@etu.cegepjonquiere.ca;$2y$10$J/WmC4JWR42JtTeMp0yBpuTGd.Kc9D6lHlOtisNcOLZloa9ekK/Ee;5;;;;;
