1;TheNoxiousGamer@gmail.com;MARTIN;Alex;(831) 191-7291;Lovely@gmail.com;(386) 926-6928;45210;;25
2;Fancy@entreprise.com;BERNARD;Alexis;(202) 518-1297;Flippant@gmail.com;(582) 487-3269;84300;;7
3;Rude@entreprise.com;THOMAS;Antoine;(567) 588-7693;Picayune@gmail.com;(888) 258-8370;38486;;30
4;Sophisticated@entreprise.com;PETIT;Benjamin;(250) 458-7310;Well-made@gmail.com;(441) 969-7320;11568;;48
5;Plucky@entreprise.com;ROBERT;Charles;(900) 169-3011;Blushing@gmail.com;(465) 737-9549;81068;;28
6;Rough@entreprise.com;RICHARD;David;(983) 549-9350;Astonishing@gmail.com;(237) 427-5018;1590;;16
7;Elated@entreprise.com;DURAND;Édouard;(879) 551-3201;Stimulating@gmail.com;(594) 605-7061;7660;;22
8;Rightful@entreprise.com;DUBOIS;Elliot;(196) 523-5582;Cynical@gmail.com;(688) 267-2145;95090;;41
9;Humorous@entreprise.com;MOREAU;Félix;(735) 972-9437;Sulky@gmail.com;(580) 666-5617;48771;;24
10;Cut@entreprise.com;LAURENT;Gabriel;(732) 393-4546;Silent@gmail.com;(456) 674-0128;61301;;2
11;Disgusting@entreprise.com;SIMON;Guillaume;(617) 122-3670;Voiceless@gmail.com;(831) 350-6511;55978;;22
12;Shaggy@entreprise.com;ROUX;Hugo;(839) 437-1497;Fresh@gmail.com;(386) 395-8187;22240;;39
13;Straight@entreprise.com;ROUX;Isaac;(999) 141-1655;Upset@gmail.com;(247) 938-1014;62318;;46
14;Pink@entreprise.com;ROUX;Jacob;(808) 838-3408;Well-groomed@gmail.com;(764) 484-7999;77942;;14
15;Furtive@entreprise.com;ROUX;Jonathan;(160) 792-0002;Excited@gmail.com;(499) 276-7370;40000;;2
16;Tasty@entreprise.com;DAVID;Logan;(353) 359-9130;Macho@gmail.com;(942) 800-5277;9048;;10
17;Selective@entreprise.com;BERTRAND;Lucas;(215) 497-4914;Loving@gmail.com;(293) 186-2154;25150;;33
18;Grubby@entreprise.com;MOREL;Mathis;(475) 903-3992;Elastic@gmail.com;(370) 887-5812;35635;;43
19;Cagey@entreprise.com;MOREL;Nathan;(548) 200-3469;Spicy@gmail.com;(119) 398-2905;23807;;15
20;Aspiring@entreprise.com;MOREL;Nicolas;(413) 815-0432;Drab@gmail.com;(709) 342-5106;88543;;10
21;Interesting@entreprise.com;BONNET;Thomas;(267) 917-1900;Noxious@gmail.com;(494) 457-9724;96764;;34
22;Hurried@entreprise.com;DUPONT;Tommy;(315) 845-1090;Fancy@gmail.com;(657) 287-3905;76172;;49
23;Innocent@entreprise.com;LAMBERT;Victor;(291) 716-0083;Rude@gmail.com;(143) 794-1329;44529;;37
