1;Tremblay.Olimpia@etu.cegepjonquiere.ca;motpasse;5
2;Bouchard.Olga@etu.cegepjonquiere.ca;motpasse;5
3;Duchesne.Leonarda@etu.cegepjonquiere.ca;motpasse;5
4;Poirier.Kelly@etu.cegepjonquiere.ca;motpasse;5
5;Jean.Cyril@etu.cegepjonquiere.ca;motpasse;5
6;Gilbert.Rufina@etu.cegepjonquiere.ca;motpasse;5
7;Tremblay.Torri@etu.cegepjonquiere.ca;motpasse;5
8;Bouchard.Cliff@etu.cegepjonquiere.ca;motpasse;5
9;Duchesne.Kyoko@etu.cegepjonquiere.ca;motpasse;5
10;Poirier.Elvie@etu.cegepjonquiere.ca;motpasse;5
11;Jean.Barbra@etu.cegepjonquiere.ca;motpasse;5
12;Gilbert.Graig@etu.cegepjonquiere.ca;motpasse;5
13;Tremblay.Pamala@etu.cegepjonquiere.ca;motpasse;5
14;Bouchard.Jermaine@etu.cegepjonquiere.ca;motpasse;5
15;Duchesne.Chau@etu.cegepjonquiere.ca;motpasse;5
16;Poirier.Almeta@etu.cegepjonquiere.ca;motpasse;5
17;Jean.Denita@etu.cegepjonquiere.ca;motpasse;5
18;Gilbert.Larita@etu.cegepjonquiere.ca;motpasse;5
19;Tremblay.Bridgette@etu.cegepjonquiere.ca;motpasse;5
20;Bouchard.Sherika@etu.cegepjonquiere.ca;motpasse;5
21;Duchesne.Monroe@etu.cegepjonquiere.ca;motpasse;5
22;Poirier.Liliana@etu.cegepjonquiere.ca;motpasse;5
23;Jean.Lavona@etu.cegepjonquiere.ca;motpasse;5
24;Gilbert.Manda@etu.cegepjonquiere.ca;motpasse;5
25;Tremblay.Conchita@etu.cegepjonquiere.ca;motpasse;5
26;Bouchard.Emanuel@etu.cegepjonquiere.ca;motpasse;5
27;Duchesne.Celestine@etu.cegepjonquiere.ca;motpasse;5
28;Poirier.Rikki@etu.cegepjonquiere.ca;motpasse;5
29;Jean.Jacque@etu.cegepjonquiere.ca;motpasse;5
30;Gilbert.Kelle@etu.cegepjonquiere.ca;motpasse;5
31;Tremblay.Arlene  @etu.cegepjonquiere.ca;motpasse;5
32;Bouchard.Enoch  @etu.cegepjonquiere.ca;motpasse;5
33;Duchesne.Marsha  @etu.cegepjonquiere.ca;motpasse;5
34;Poirier.Jeffrey  @etu.cegepjonquiere.ca;motpasse;5
35;Jean.Jaqueline  @etu.cegepjonquiere.ca;motpasse;5
36;Gilbert.Reita  @etu.cegepjonquiere.ca;motpasse;5
37;Tremblay.Alix  @etu.cegepjonquiere.ca;motpasse;5
38;Bouchard.Bruce  @etu.cegepjonquiere.ca;motpasse;5
39;Duchesne.Nickie  @etu.cegepjonquiere.ca;motpasse;5
40;Poirier.Jesusita  @etu.cegepjonquiere.ca;motpasse;5
41;Jean.Marylou  @etu.cegepjonquiere.ca;motpasse;5
42;Gilbert.Mariam  @etu.cegepjonquiere.ca;motpasse;5
43;Tremblay.Dorine  @etu.cegepjonquiere.ca;motpasse;5
44;Bouchard.Wiley  @etu.cegepjonquiere.ca;motpasse;5
45;Duchesne.Julissa  @etu.cegepjonquiere.ca;motpasse;5
46;Poirier.Nery  @etu.cegepjonquiere.ca;motpasse;5
47;Jean.Rena  @etu.cegepjonquiere.ca;motpasse;5
48;Gilbert.Olene  @etu.cegepjonquiere.ca;motpasse;5
49;Tremblay.Arlen  @etu.cegepjonquiere.ca;motpasse;5
50;Bouchard.Chassidy  @etu.cegepjonquiere.ca;motpasse;5
51;Lovely@gmail.com;motpasse;4
52;Flippant@gmail.com;motpasse;4
53;Picayune@gmail.com;motpasse;4
54;Well-made@gmail.com;motpasse;4
55;Blushing@gmail.com;motpasse;4
56;Astonishing@gmail.com;motpasse;4
57;Stimulating@gmail.com;motpasse;4
58;Cynical@gmail.com;motpasse;4
59;Sulky@gmail.com;motpasse;4
60;Silent@gmail.com;motpasse;4
61;Voiceless@gmail.com;motpasse;4
62;Fresh@gmail.com;motpasse;4
63;Upset@gmail.com;motpasse;4
64;Well-groomed@gmail.com;motpasse;4
65;Excited@gmail.com;motpasse;4
66;Macho@gmail.com;motpasse;4
67;Loving@gmail.com;motpasse;4
68;Elastic@gmail.com;motpasse;4
69;Spicy@gmail.com;motpasse;4
70;Drab@gmail.com;motpasse;4
71;Noxious@gmail.com;motpasse;4
72;Fancy@gmail.com;motpasse;4
73;Rude@gmail.com;motpasse;4
74;Sophisticated@gmail.com;motpasse;4
75;Plucky@gmail.com;motpasse;4
76;Rough@gmail.com;motpasse;4
77;Elated@gmail.com;motpasse;4
78;Rightful@gmail.com;motpasse;4
79;Humorous@gmail.com;motpasse;4
80;Cut@gmail.com;motpasse;4
81;Disgusting@gmail.com;motpasse;4
82;Shaggy@gmail.com;motpasse;4
83;Straight@gmail.com;motpasse;4
84;Pink@gmail.com;motpasse;4
85;Furtive@gmail.com;motpasse;4
86;Tasty@gmail.com;motpasse;4
87;Selective@gmail.com;motpasse;4
88;Grubby@gmail.com;motpasse;4
89;Cagey@gmail.com;motpasse;4
90;Aspiring@gmail.com;motpasse;4
91;Interesting@gmail.com;motpasse;4
92;Hurried@gmail.com;motpasse;4
93;Innocent@gmail.com;motpasse;4
94;Ugly@gmail.com;motpasse;4
95;Rambunctious@gmail.com;motpasse;4
96;Scary@gmail.com;motpasse;4
97;Icky@gmail.com;motpasse;4
98;Bite-sized@gmail.com;motpasse;4
99;Hard@gmail.com;motpasse;4
100;tremblay.Ernie@Hotmail.ca;motpasse;4
101;bouchard.Sanford@Hotmail.ca;motpasse;2
102;poirier.Les@Hotmail.ca;motpasse;2
103;sioud.Leandro@Hotmail.ca;motpasse;2
104;tremblay.Nelson@Hotmail.ca;motpasse;2
105;bouchard.Harvey@Hotmail.ca;motpasse;2
106;poirier.Malcolm@Hotmail.ca;motpasse;2
107;sioud.Colton@Hotmail.ca;motpasse;2
108;tremblay.Neal@Hotmail.ca;motpasse;2
109;bouchard.Allen@Hotmail.ca;motpasse;2
110;poirier.Dylan@Hotmail.ca;motpasse;2
111;sioud.Weston@Hotmail.ca;motpasse;2
112;tremblay.Doug@Hotmail.ca;motpasse;2
113;bouchard.Shawn@Hotmail.ca;motpasse;2
114;poirier.Dominick@Hotmail.ca;motpasse;2
115;sioud.Mohammad@Hotmail.ca;motpasse;2
116;tremblay.Donte@Hotmail.ca;motpasse;2
117;bouchard.Brian@Hotmail.ca;motpasse;2
118;poirier.Glen@Hotmail.ca;motpasse;2
119;sioud.Galen@Hotmail.ca;motpasse;2
120;tremblay.Scot@Hotmail.ca;motpasse;2
121;bouchard.Gerry@Hotmail.ca;motpasse;1
122;poirier.Claudio@Hotmail.ca;motpasse;1
123;sioud.Lyman@Hotmail.ca;motpasse;1
124;tremblay.Emile@Hotmail.ca;motpasse;1
125;bouchard.Monte@Hotmail.ca;motpasse;1
126;poirier.Louie@Hotmail.ca;motpasse;1
127;sioud.Preston@Hotmail.ca;motpasse;1
128;tremblay.Coleman@Hotmail.ca;motpasse;1
129;bouchard.Marcelino@Hotmail.ca;motpasse;1
130;poirier.Elden@Hotmail.ca;motpasse;1
131;sioud.Randell@Hotmail.ca;motpasse;3
132;tremblay.Dane@Hotmail.ca;motpasse;3
133;bouchard.Clinton@Hotmail.ca;motpasse;3
134;poirier.Hubert@Hotmail.ca;motpasse;3
135;sioud.Jean@Hotmail.ca;motpasse;3
136;tremblay.Hong@Hotmail.ca;motpasse;3
137;bouchard.Jame@Hotmail.ca;motpasse;3
138;poirier.Hugo@Hotmail.ca;motpasse;3
139;sioud.Vito@Hotmail.ca;motpasse;3
140;tremblay.Eldridge@Hotmail.ca;motpasse;3
141;bouchard.Agustin@Hotmail.ca;motpasse;3
142;poirier.Sonny@Hotmail.ca;motpasse;3
143;sioud.Ward@Hotmail.ca;motpasse;3
144;tremblay.Grant@Hotmail.ca;motpasse;3
145;bouchard.Dana@Hotmail.ca;motpasse;3
146;poirier.Larry@Hotmail.ca;motpasse;3
147;sioud.Stefan@Hotmail.ca;motpasse;3
148;tremblay.Marcel@Hotmail.ca;motpasse;3
149;bouchard.Manual@Hotmail.ca;motpasse;3
